SEGMENTO;LISTAGEM;;
Energia Elétrica;CPLE;;
Energia Elétrica;CSRN;;
Energia Elétrica;CPFE;;
Energia Elétrica;CPFG;;
Energia Elétrica;CPFP;;
Energia Elétrica;CPRE;;
Energia Elétrica;EBEN;;
Energia Elétrica;EKTR;;
Energia Elétrica;ELET;;
Energia Elétrica;LIPR;;
Energia Elétrica;EMAE;;
Energia Elétrica;ENBR;;
Energia Elétrica;ENGI;;
Energia Elétrica;ENMT;;
Energia Elétrica;ENER;;
Energia Elétrica;ENEV;;
Energia Elétrica;EGIE;;
Energia Elétrica;EQPA;;
Energia Elétrica;EQMA;;
Energia Elétrica;EQTL;;
Energia Elétrica;ESCE;;
Energia Elétrica;FGEN;;
Energia Elétrica;GEPA;;
Energia Elétrica;LIGH;;
Energia Elétrica;LIGT;;
Energia Elétrica;NEOE;;
Energia Elétrica;MEGA;;
Energia Elétrica;PALF;;
Energia Elétrica;PRMN;;
Energia Elétrica;REDE;;
Energia Elétrica;RNEW;;
Energia Elétrica;STKF;;
Energia Elétrica;STEN;;
Energia Elétrica;TAEE;;
Energia Elétrica;TEPE;;
Energia Elétrica;TMPE;;
Energia Elétrica;TRPL;;
Energia Elétrica;UPKP;;
Água e Saneamento;AMBP;;
Água e Saneamento;CASN;;
Água e Saneamento;CSMG;;
Água e Saneamento;IGSN;;
Água e Saneamento;ORVR;;
Água e Saneamento;SBSP;;
Água e Saneamento;SAPR;;
Água e Saneamento;SNST;;
Gás;CEGR;;
Gás;CGAS;;
Gás;PASS;;
Bancos;ABCB;;
Bancos;RPAD;;
Bancos;BRIV;;
Bancos;BAZA;;
Bancos;BMGB;;
Bancos;BPAN;;
Bancos;BGIP;;
Bancos;BEES;;
Bancos;BPAR;;
Bancos;BRSR;;
Bancos;BRBI;;
Bancos;BBDC;;
Bancos;BBAS;;
Bancos;BSLI;;
Bancos;BPAC;;
Bancos;INBR;;
Bancos;ITSA;;
Bancos;ITUB;;
Bancos;BMEB;;
Bancos;BMIN;;
Bancos;MODL;;
Bancos;BNBR;;
Bancos;NUBR;;
Bancos;PINE;;
Bancos;SANB;;
Soc. Crédito e Financiamento;CRIV;;
Soc. Crédito e Financiamento;DMFN;;
Soc. Crédito e Financiamento;MERC;;
Soc. Arrendamento Mercantil;BDLS;;
Soc. Arrendamento Mercantil;DBEN;;
Securitizadoras de Recebíveis;BZRS;;
Securitizadoras de Recebíveis;BSCS;;
Securitizadoras de Recebíveis;CBSC;;
Securitizadoras de Recebíveis;GAFL;;
Securitizadoras de Recebíveis;GAIA;;
Securitizadoras de Recebíveis;OCTS;;
Securitizadoras de Recebíveis;PDGS;;
Securitizadoras de Recebíveis;PLSC;;
Securitizadoras de Recebíveis;RBRA;;
Securitizadoras de Recebíveis;APCS;;
Securitizadoras de Recebíveis;VERT;;
Securitizadoras de Recebíveis;WTPI;;
Gestão de Recursos e Investimentos;BNDP;;
Gestão de Recursos e Investimentos;BFRE;;
Gestão de Recursos e Investimentos;G2DI;;
Gestão de Recursos e Investimentos;GPIV;;
Gestão de Recursos e Investimentos;PPLA;;
Serviços Financeiros Diversos;B3SA;;
Serviços Financeiros Diversos;BOAS;;
Serviços Financeiros Diversos;CIEL;;
Serviços Financeiros Diversos;CLSA;;
Serviços Financeiros Diversos;CSUD;;
Serviços Financeiros Diversos;STOC;;
Serviços Financeiros Diversos;XPBR;;
Seguradoras;BRGE;;
Seguradoras;BBSE;;
Seguradoras;CXSE;;
Seguradoras;PSSA;;
Seguradoras;CSAB;;
Resseguradoras;IRBR;;
Corretoras de Seguros e Resseguros;APER;;
Corretoras de Seguros e Resseguros;WIZC;;
Exploração de Imóveis;ALSO;;
Exploração de Imóveis;BRPR;;
Exploração de Imóveis;CORR;;
Exploração de Imóveis;GSHP;;
Exploração de Imóveis;HBTS;;
Exploração de Imóveis;HBRE;;
Exploração de Imóveis;IGTI;;
Exploração de Imóveis;LOGG;;
Exploração de Imóveis;MNZC;;
Exploração de Imóveis;MULT;;
Exploração de Imóveis;SCAR;;
Exploração de Imóveis;SYNE;;
Intermediação Imobiliária;LPSB;;
Intermediação Imobiliária;NEXP;;
Holdings Diversificadas;MOAR;;
Holdings Diversificadas;PEAB;;
Holdings Diversificadas;SIMH;;
Outros Títulos;CTBA;;
Outros Títulos;MCRJ;;
Outros Títulos;PMSP;;
Outros;QVQP;;
Outros;ATOM;;
Outros;BETP;;
Outros;CABI;;
Outros;MAPT;;
Outros;CMSA;;
Outros;OPGM;;
Outros;FIGE;;
Outros;PPAR;;
Outros;PRPT;;
Outros;OPSE;;
Outros;OPTS;;
Outros;YBRA;;
