Produtos Diversos;LLBI;;
Produtos Diversos;PETZ;;
Produtos Diversos;LJQQ;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Medicamentos e Outros Produtos;;;
Medicamentos e Outros Produtos;BIOM;;
Medicamentos e Outros Produtos;NRTQ;;
Medicamentos e Outros Produtos;OFSA;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;AALR;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;DASA;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;FLRY;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;HAPV;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;KRSA;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;MATD;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;ODPV;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;ONCO;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;QUAL;;
Serviços Médico - Hospitalares, Análises e Diagnósticos;RDOR;;
Equipamentos;;;
Equipamentos;BALM;;
Equipamentos;LMED;;
Medicamentos e Outros Produtos;;;
Medicamentos e Outros Produtos;BLAU;;
Medicamentos e Outros Produtos;DMVF;;
Medicamentos e Outros Produtos;PNVL;;
Medicamentos e Outros Produtos;HYPE;;
Medicamentos e Outros Produtos;PGMN;;
Medicamentos e Outros Produtos;PFRM;;
Medicamentos e Outros Produtos;RADL;;
Medicamentos e Outros Produtos;VVEO;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Computadores e Equipamentos;;;
Computadores e Equipamentos;INTB;;
Computadores e Equipamentos;MLAS;;
Computadores e Equipamentos;POSI;;
Programas e Serviços;;;
Programas e Serviços;BMOB;;
Programas e Serviços;BRQB;;
Programas e Serviços;ENJU;;
Programas e Serviços;NINJ;;
Programas e Serviços;IFCM;;
Programas e Serviços;LWSA;;
Programas e Serviços;CASH;;
Programas e Serviços;NGRD;;
Programas e Serviços;PDTC;;
Programas e Serviços;QUSW;;
Programas e Serviços;SQIA;;
Programas e Serviços;TRAD;;
Programas e Serviços;TOTS;;
Programas e Serviços;LVTC;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Telecomunicações;;;
Telecomunicações;ALGT;;
Telecomunicações;BRIT;;
Telecomunicações;DESK;;
Telecomunicações;OIBR;;
Telecomunicações;TELB;;
Telecomunicações;VIVT;;
Telecomunicações;TIMS;;
Telecomunicações;FIQE;;
Publicidade e Propaganda;;;
Publicidade e Propaganda;ELMD;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Energia Elétrica;;;
Energia Elétrica;AESB;;
Energia Elétrica;AESL;;
Energia Elétrica;AESO;;
Energia Elétrica;AFLT;;
Energia Elétrica;ALUP;;
Energia Elétrica;CBEE;;
Energia Elétrica;AURE;;
Energia Elétrica;CPTE;;
Energia Elétrica;CEBR;;
Energia Elétrica;CEED;;
Energia Elétrica;CLSC;;
Energia Elétrica;GPAR;;
Energia Elétrica;CMIG;;
Energia Elétrica;CEEB;;
Energia Elétrica;COCE;;
Energia Elétrica;COMR;;
Energia Elétrica;CPLE;;
Energia Elétrica;CSRN;;
Energia Elétrica;CPFE;;
Energia Elétrica;CPFG;;
Energia Elétrica;CPFP;;
Energia Elétrica;CPRE;;
Energia Elétrica;EBEN;;
Energia Elétrica;EKTR;;
Energia Elétrica;ELET;;
Energia Elétrica;LIPR;;
Energia Elétrica;EMAE;;
Energia Elétrica;ENGI;;
Energia Elétrica;ENMT;;
Energia Elétrica;ENER;;
Energia Elétrica;ENEV;;
Energia Elétrica;EGIE;;
Energia Elétrica;EQPA;;
Energia Elétrica;EQMA;;
Energia Elétrica;EQTL;;
Energia Elétrica;ESCE;;
Energia Elétrica;FGEN;;
Energia Elétrica;GEPA;;
Energia Elétrica;LIGH;;
Energia Elétrica;LIGT;;
Energia Elétrica;NEOE;;
Energia Elétrica;MEGA;;
Energia Elétrica;PALF;;
Energia Elétrica;PRMN;;
Energia Elétrica;REDE;;
Energia Elétrica;RNEW;;
Energia Elétrica;STKF;;
Energia Elétrica;STEN;;
Energia Elétrica;TAEE;;
Energia Elétrica;TEPE;;
Energia Elétrica;TMPE;;
Energia Elétrica;TRPL;;
Energia Elétrica;UPKP;;
Água e Saneamento;;;
Água e Saneamento;AMBP;;
Água e Saneamento;CASN;;
Água e Saneamento;CSMG;;
Água e Saneamento;IGSN;;
Água e Saneamento;ORVR;;
Água e Saneamento;SBSP;;
Água e Saneamento;SAPR;;
Água e Saneamento;SNST;;
Gás;;;
Gás;CEGR;;
Gás;CGAS;;
Gás;PASS;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Bancos;;;
Bancos;ABCB;;
Bancos;RPAD;;
Bancos;BRIV;;
Bancos;BAZA;;
Bancos;BMGB;;
Bancos;BPAN;;
Bancos;BGIP;;
Bancos;BEES;;
Bancos;BPAR;;
Bancos;BRSR;;
Bancos;BRBI;;
Bancos;BBDC;;
Bancos;BBAS;;
Bancos;BSLI;;
Bancos;BPAC;;
Bancos;INBR;;
Bancos;ITUB;;
Bancos;BMEB;;
Bancos;BMIN;;
Bancos;BNBR;;
Bancos;PINE;;
Bancos;SANB;;
Soc. Crédito e Financiamento;;;
Soc. Crédito e Financiamento;CRIV;;
Soc. Crédito e Financiamento;DMFN;;
Soc. Crédito e Financiamento;MERC;;
Soc. Arrendamento Mercantil;;;
Soc. Arrendamento Mercantil;BDLS;;
